PicklesName,SpecType,g-r,g_s-g,i-z,i_s-i,r-i,r_s-r,u-g,u_s-u,z_s-z
pickles_uk_1,O5V,-0.5903684867951089,0.02350947905758538,-0.3422372766358919,0.0416663389237204,-0.37691007412085753,0.0002483519278229096,-0.47317658266923424,0.0424562283477119,0.017928607156544984
pickles_uk_2,O9V,-0.5899513515005985,0.02247681342924679,-0.35957215006327736,0.038402370239211336,-0.3536074017242292,0.00020662581195729501,-0.3986875433461048,0.0297798591968661,0.022997199211014063
pickles_uk_3,B0V,-0.5581832774624562,0.02087394865987413,-0.31723925255089824,0.03657675072080835,-0.3474789004270402,-0.0003412543394549772,-0.32945433555140724,0.01283385841455953,0.01847780785433173
pickles_uk_4,B1V,-0.4599570592656068,0.015544800703308326,-0.25184051734239077,0.031052158936388352,-0.33074974575050575,0.0004094291697533947,-0.2037246881672541,0.005232412262220265,0.016595092215579754
pickles_uk_5,B3V,-0.43305875166841545,0.014010503767233118,-0.2532127122252916,0.02581359756086421,-0.2608798461466151,0.0005248281937895172,0.10088145646832025,-0.07199429515527456,0.017401261277578683
pickles_uk_6,B5-7V,-0.3670055137970678,0.009379653319548709,-0.22048539615032503,0.02249555883850718,-0.228509855811998,-8.024715267218596e-05,0.42682366912425707,-0.15379307186200464,0.016098720344958295
pickles_uk_7,B8V,-0.30766327425171447,0.007980962469556374,-0.16362168280442724,0.023392260856685,-0.23611718019936134,-4.650451760213059e-05,0.6625107040992848,-0.21650110709255266,0.008015875538118777
pickles_uk_9,A0V,-0.23152142037413803,-0.0007452315920684072,-0.1646540910914691,0.021960000202145835,-0.18340387032357341,-0.0010416409207980593,1.0042757208871809,-0.2611512202457096,0.0051966007471264675
pickles_uk_10,A2V,-0.20422680783642377,-0.001276788081046476,-0.14309459578281647,0.019011737531657857,-0.16850011917117058,-0.001154196115429329,1.0718900164665435,-0.28828449068177875,0.006963221314745027
pickles_uk_11,A3V,-0.1339110836314763,-0.004118747872016826,-0.1460049699039896,0.0174602811602238,-0.1481738054136521,-0.00140770279558744,1.0675700704510227,-0.27666389273065306,0.0106615731476154
pickles_uk_12,A5V,-0.0829340974549364,-0.007395357178411999,-0.0948148680645069,0.015258013308580232,-0.10882492828251067,-0.002160478003625954,1.1188053557045308,-0.2895463909760938,0.00042460363598095796
pickles_uk_14,F0V,0.11307226195452103,-0.013829948568060857,-0.08885122128471146,0.005985555675612986,-0.011636800955788118,-0.0011413797259702818,1.0882867482135818,-0.20914865441280028,0.006466917875989964
pickles_uk_15,F2V,0.1990208168573897,-0.01779756801844634,-0.012663261587613661,5.931498091626963e-05,0.02681238149865628,-0.0006391238335705651,1.052726124110995,-0.19794640597774205,0.0005300344357621611
pickles_uk_16,F5V,0.26810760076893736,-0.021689344715726477,-0.012530296949364583,-0.002796548461107662,0.030444231379833653,0.000278017574256495,1.0248823352876428,-0.16087145418895155,0.00315966919036903
pickles_uk_20,F8V,0.368125350233484,-0.025737588151370616,0.037793696478543026,-0.005846049096765782,0.09060020686190917,-0.0008963236861561086,1.15453429414198,-0.16186584900980527,-0.0015154522893734423
pickles_uk_23,G0V,0.38588066566346946,-0.027483539700174475,0.025172589861028882,-0.007716601367231846,0.1369122853700233,-0.0018070824992904022,1.2333970322353487,-0.16063575813105224,-9.705534711912378e-06
pickles_uk_26,G2V,0.45741607396125517,-0.030961397768587418,0.047967186752515545,-0.008887459939858289,0.1505562444457631,-0.0010297405703134643,1.307743333317644,-0.13992022678788274,-0.0034539193819878022
pickles_uk_27,G5V,0.49134891683376836,-0.03388921521657018,0.061734356879027175,-0.009944423502457056,0.1591961819492571,-0.0010903555079249116,1.4341540925881002,-0.15577619514486507,-0.0035634112087929992
pickles_uk_30,G8V,0.575691164725324,-0.03720297465313749,0.05976051180557285,-0.011088441501723167,0.1855736377096946,-0.0023109829850991304,1.5417602000825639,-0.0955901369955825,-0.0005128466452184455
pickles_uk_31,K0V,0.6216511183846727,-0.03797043782444298,0.07285510343155188,-0.011539407599750362,0.2121088440697374,-0.0020445111337394906,1.6234854586733931,-0.14017198857216506,-0.005158916322965723
pickles_uk_33,K2V,0.7775641497918997,-0.046797435904057494,0.11271699943038271,-0.0164197444223948,0.23498249920320546,-0.002453348106165265,1.8975390790792481,-0.09594491134890504,-0.005406819357336445
pickles_uk_36,K5V,1.1823170386884136,-0.06652994817182822,0.20335478930640072,-0.033720349547131434,0.39672774974908087,0.0010797987040103152,2.48989256082168,-0.14139656480629803,-0.011408076612353213
pickles_uk_37,K7V,1.3395925419733725,-0.08599471851896645,0.30076691252194543,-0.04809407512193964,0.532046868813552,0.001127439557654597,2.511413146846861,-0.1955660876588894,-0.01417063440012356
pickles_uk_38,M0V,1.3126628118702524,-0.07984183917081289,0.384474658154522,-0.05502588062966751,0.6326907615998287,-0.003599016315350312,2.603671962038394,-0.18223848181198576,-0.020105845881703388
pickles_uk_40,M2V,1.4262248935996862,-0.0994006200073887,0.5231610534526361,-0.07862871425186313,0.8459522664565995,0.0031793763643150896,2.542551376905543,-0.26046905861599967,-0.027274180641388313
pickles_uk_43,M4V,1.4750885639686917,-0.12194338140800198,0.7636475782194783,-0.12429164211860311,1.5044055457150112,-0.003250275583413398,3.0861746672131147,-0.3039982038546363,-0.03747546248784239
pickles_uk_44,M5V,1.5805439087791395,-0.12830773187123512,0.9327658041168423,-0.15716050269172754,1.725461405723923,0.0005263745573866885,3.0164295998480757,-0.25686279558198066,-0.034361891618596374
