PicklesName,SpecType,Teff,g-g,g-r,i-i,i-z,logg,r-i,r-r,u-g,u-u,z-z
,,14500.0,0.0,-0.2231284755185925,0.0,-0.2808694935680336,8.75,-0.24326662765604823,0.0,0.15999846836401588,0.0,0.0
,,35000.0,0.0,-0.5133730373666481,0.0,-0.35094814087531745,6.5,-0.37554463535126814,0.0,-0.3568383660213357,0.0,0.0
,,24000.0,0.0,-0.416515346168147,0.0,-0.32880576434367015,8.0,-0.33415136498636144,0.0,-0.1384910805210282,0.0,0.0
,,24000.0,0.0,-0.40385768087873686,0.0,-0.33110697936621847,8.5,-0.3306164007301362,0.0,-0.1638024981392121,0.0,0.0
,,7000.0,0.0,0.19642877227768452,0.0,-0.050294870623261545,9.5,0.04062503493807412,0.0,0.5145806248362206,0.0,0.0
,,19750.0,0.0,-0.38600255719703824,0.0,-0.3068047667183862,7.25,-0.3142621740727449,0.0,0.04911315048499176,0.0,0.0
,,28000.0,0.0,-0.47314078875894694,0.0,-0.33859896508823795,7.0,-0.35717593154593175,0.0,-0.21685471172576598,0.0,0.0
,,20000.0,0.0,-0.33384068153841184,0.0,-0.31799918686888873,9.0,-0.3008181980138076,0.0,-0.06874243309960093,0.0,0.0
,,27000.0,0.0,-0.43106601034974545,0.0,-0.3422058862753019,8.75,-0.3437076579113878,0.0,-0.2561924136624185,0.0,0.0
,,36000.0,0.0,-0.5019014778294277,0.0,-0.3543956184998507,8.0,-0.3728730019801034,0.0,-0.3886331223818331,0.0,0.0
,,8500.0,0.0,0.03894104606178672,0.0,-0.12163834387622785,8.0,-0.05974252394801027,0.0,0.36962216707754436,0.0,0.0
,,6500.0,0.0,0.2829573018047711,0.0,-0.019761873956291254,9.25,0.07897235866222019,0.0,0.6840116459291607,0.0,0.0
,,13750.0,0.0,-0.24045661649228123,0.0,-0.27461406892889784,8.0,-0.24958634062578255,0.0,0.3184110420645965,0.0,0.0
,,80000.0,0.0,-0.5484134458320398,0.0,-0.36565324322825177,9.25,-0.39107185401076094,0.0,-0.5133273418097133,0.0,0.0
,,12500.0,0.0,-0.17332989665063536,0.0,-0.2592598799089032,8.5,-0.21150177043578822,0.0,0.25142943045118216,0.0,0.0
,,14750.0,0.0,-0.32277181304709757,0.0,-0.2737513403181424,6.75,-0.2780947437515735,0.0,0.3631934010473188,0.0,0.0
,,16250.0,0.0,-0.3347709023773149,0.0,-0.28855736103191987,7.25,-0.2885988899910146,0.0,0.2328722861608128,0.0,0.0
,,20000.0,0.0,-0.36038894998605997,0.0,-0.31426563581273825,8.25,-0.30909700597509726,0.0,-0.014372935972161827,0.0,0.0
,,15000.0,0.0,-0.3348609656360182,0.0,-0.27262290096943076,6.5,-0.2822089479129275,0.0,0.3550263626069423,0.0,0.0
,,16250.0,0.0,-0.35572349092033306,0.0,-0.2812521100669372,6.5,-0.2929723863208835,0.0,0.2657479926104571,0.0,0.0
,,16500.0,0.0,-0.24436001465604562,0.0,-0.2968358219429277,9.5,-0.2551092482647377,0.0,-0.009577579720492224,0.0,0.0
,,16500.0,0.0,-0.28907125220904817,0.0,-0.29868804467241006,8.5,-0.2776599774226085,0.0,0.12165860598032907,0.0,0.0
,,6250.0,0.0,0.3249330566036477,0.0,0.0023192439435746337,7.75,0.0975672448480438,0.0,0.676929949185407,0.0,0.0
,,6000.0,0.0,0.39056161515070187,0.0,0.01625481334617973,9.25,0.12432319734656971,0.0,0.9503915926228714,0.0,0.0
,,18500.0,0.0,-0.32802401821135163,0.0,-0.30907522116514485,8.5,-0.29561259382312244,0.0,0.029726989439453178,0.0,0.0
,,9750.0,0.0,-0.061970128702633076,0.0,-0.18459086149015747,7.75,-0.12927550964243295,0.0,0.41854907612376024,0.0,0.0
,,5500.0,0.0,0.4984138468423751,0.0,0.06632413563564654,7.0,0.1834145404756029,0.0,0.9926423249363907,0.0,0.0
,,5750.0,0.0,0.4482128825970406,0.0,0.038536782268515424,8.75,0.1524972643521849,0.0,1.0480405520785823,0.0,0.0
