PicklesName,SpecType,Teff,g-r,g_s-g,i-z,i_s-i,logg,r-i,r_s-r,u-g,u_s-u,z_s-z
,,14500.0,-0.2231284755185925,-0.008640599581688946,-0.2808694935680336,0.02646434426042532,8.75,-0.24326662765604823,0.012229783681760864,0.15999846836401588,0.00801641442279788,0.012284713747007459
,,35000.0,-0.5133730373666481,0.008125200726411208,-0.35094814087531745,0.03468378192307142,6.5,-0.37554463535126814,0.02020691369560268,-0.3568383660213357,0.033535439047199134,0.027112000934899072
,,24000.0,-0.416515346168147,0.0012914780703212614,-0.32880576434367015,0.03230202028193219,8.0,-0.33415136498636144,0.017388766984396398,-0.1384910805210282,0.025567065817909906,0.02191751678635967
,,24000.0,-0.40385768087873686,0.0008367214231554954,-0.33110697936621847,0.03235818870687979,8.5,-0.3306164007301362,0.01713106001466258,-0.1638024981392121,0.02616298514917048,0.02276535691760273
,,7000.0,0.19642877227768452,-0.009232914293065164,-0.050294870623261545,0.0024055569664085397,9.5,0.04062503493807412,-0.005081253697838406,0.5145806248362206,-0.053060025647752695,-0.03739907890435745
,,19750.0,-0.38600255719703824,-0.0007346911910062204,-0.3068047667183862,0.030453074400128344,7.25,-0.3142621740727449,0.016326814649303856,0.04911315048499176,0.017995573910582152,0.015481763343380806
,,28000.0,-0.47314078875894694,0.004454876357719684,-0.33859896508823795,0.03353943569122464,7.0,-0.35717593154593175,0.018949728494376927,-0.21685471172576598,0.029402382718629383,0.02365333175411166
,,20000.0,-0.33384068153841184,-0.003271732483085543,-0.31799918686888873,0.030601585577343826,9.0,-0.3008181980138076,0.015533746174646978,-0.06874243309960093,0.0210436552662685,0.019999706824521013
,,27000.0,-0.43106601034974545,0.0025309931127708296,-0.3422058862753019,0.033404643966910896,8.75,-0.3437076579113878,0.017884544080033038,-0.2561924136624185,0.0299943180583071,0.025462943150117212
,,36000.0,-0.5019014778294277,0.00766887058391319,-0.3543956184998507,0.03484811211615124,8.0,-0.3728730019801034,0.01985389931496684,-0.3886331223818331,0.03441509051123859,0.02842208360865328
,,8500.0,0.03894104606178672,-0.0073421686695809285,-0.12163834387622785,0.010257767677565255,8.0,-0.05974252394801027,0.001231959086432255,0.36962216707754436,-0.024402763484360435,-0.02136741289797328
,,6500.0,0.2829573018047711,-0.011423810760000208,-0.019761873956291254,-0.0008956421518178104,9.25,0.07897235866222019,-0.00740953266499389,0.6840116459291607,-0.06972469422524341,-0.044678330204149574
,,13750.0,-0.24045661649228123,-0.008830569515716036,-0.27461406892889784,0.026513096834108296,8.0,-0.24958634062578255,0.012371366245261584,0.3184110420645965,0.005271094757851813,0.00892112718231175
,,80000.0,-0.5484134458320398,0.010693162506484555,-0.36565324322825177,0.03599992761566284,9.25,-0.39107185401076094,0.021099521821419387,-0.5133273418097133,0.03948920153568736,0.03094231901583555
,,12500.0,-0.17332989665063536,-0.009569400364533465,-0.2592598799089032,0.024224949151616215,8.5,-0.21150177043578822,0.010066977193794457,0.25142943045118216,0.0020427649448322427,0.007853675347753608
,,14750.0,-0.32277181304709757,-0.004397823153816205,-0.2737513403181424,0.027622498858029587,6.75,-0.2780947437515735,0.014179740868698332,0.3631934010473188,0.005276658617319185,0.00502915822201544
,,16250.0,-0.3347709023773149,-0.003957112291800513,-0.28855736103191987,0.028674434854018216,7.25,-0.2885988899910146,0.014718654855521152,0.2328722861608128,0.010660223446059547,0.010326335010340415
,,20000.0,-0.36038894998605997,-0.0019819046499947035,-0.31426563581273825,0.030689449779004008,8.25,-0.30909700597509726,0.015868084515346936,-0.014372935972161827,0.01994167790037693,0.018544355560884185
,,15000.0,-0.3348609656360182,-0.0033310556579664308,-0.27262290096943076,0.02774619548733881,6.5,-0.2822089479129275,0.0145121866260709,0.3550263626069423,0.005142354114035186,0.004281307018032976
,,16250.0,-0.35572349092033306,-0.002016145093080013,-0.2812521100669372,0.028502972186778663,6.5,-0.2929723863208835,0.015192821614299135,0.2657479926104571,0.008634413345930625,0.007001713693085776
,,16500.0,-0.24436001465604562,-0.007752046701000381,-0.2968358219429277,0.027547359529435766,9.5,-0.2551092482647377,0.013410234861986225,-0.009577579720492224,0.013903941438961454,0.016530659089298183
,,16500.0,-0.28907125220904817,-0.00630779543568849,-0.29868804467241006,0.028770790785181077,8.5,-0.2776599774226085,0.014089525906932465,0.12165860598032907,0.013655188210044855,0.015099905265543612
,,6250.0,0.3249330566036477,-0.01235653344301113,0.0023192439435746337,-0.0030425079310276715,7.75,0.0975672448480438,-0.008312762995899448,0.676929949185407,-0.0630439026602545,-0.05156470730236151
,,6000.0,0.39056161515070187,-0.014453127315974257,0.01625481334617973,-0.004837209524986008,9.25,0.12432319734656971,-0.010070706356003711,0.9503915926228714,-0.09312946192830651,-0.053389761491160925
,,18500.0,-0.32802401821135163,-0.003877432213428733,-0.30907522116514485,0.02997052753885754,8.5,-0.29561259382312244,0.015093786360345973,0.029726989439453178,0.017695765534625707,0.017515183958401792
,,9750.0,-0.061970128702633076,-0.008953196190795154,-0.18459086149015747,0.016804748800772984,7.75,-0.12927550964243295,0.0050744697763889235,0.41854907612376024,-0.012178571425231155,-0.008015435195318332
,,5500.0,0.4984138468423751,-0.018002566214335047,0.06632413563564654,-0.010109639257137815,7.0,0.1834145404756029,-0.01377377589057005,0.9926423249363907,-0.09181403192194182,-0.06776771517009195
,,5750.0,0.4482128825970406,-0.016395864493773615,0.038536782268515424,-0.00721505668060729,8.75,0.1524972643521849,-0.01191649296580266,1.0480405520785823,-0.10000456731650331,-0.05923242490217717
