PicklesName,SpecType,Teff,g_s-g,g_s-r_s,i_s-i,i_s-z_s,r_s-i_s,r_s-r,u_s-g_s,u_s-u,z_s-z
pickles_uk_26,G2V,5636.38,0.0167856796189767,0.4274844167629812,0.004612097135328952,0.04253364619464506,0.15841396381530792,0.024205879319962875,1.1987845042983487,-0.08576564520777019,0.05859849760089375
pickles_uk_27,G5V,5584.7,0.01893398964852011,0.4585500571251231,0.004404851939490584,0.05535334458536312,0.16805024994378925,0.024749972779517293,1.3122671126598053,-0.08770606800957914,0.056571215702220456
pickles_uk_30,G8V,5333.35,0.022257992910178714,0.5407991730572856,0.00451163168795965,0.049184916949068125,0.19435109622631863,0.029728893901371123,1.4833730377401189,-0.040345865924532376,0.059241387080646746
pickles_uk_31,K0V,5188.0,0.022444510403332174,0.5857251916939692,0.005130989861497071,0.06647461215476724,0.22160374053574827,0.03402812608310235,1.521283907925671,-0.07102505045135565,0.06520274848671548
pickles_uk_33,K2V,4886.52,0.030633245433323353,0.7332200619940075,0.005723457176111779,0.10170407436532436,0.248948895519435,0.0396183065646305,1.8483916036344006,-0.018515151556814047,0.07678687543984353
pickles_uk_36,K5V,4187.94,0.04877193094927357,1.114707291812575,0.005713681300314022,0.1810425163716225,0.4315278980002226,0.05583141008674808,2.41502594418721,-0.05530417002295174,0.09587713233686479
pickles_uk_37,K7V,3999.45,0.05795996269231374,1.2524703838967515,0.003120365356014787,0.26684347180012935,0.5812683834931462,0.06561960411576706,2.401841777706938,-0.11050828745837116,0.09037936168711092
pickles_uk_38,M0V,3801.89,0.056528095779302845,1.2364199890147898,0.008318630119461545,0.34955462340655785,0.6841176259141459,0.08410494054318463,2.5012753193972213,-0.10455080948674578,0.1263688383043604
pickles_uk_40,M2V,3548.13,0.05732022701679362,1.3236448972279824,0.007545825775665094,0.47180651984216126,0.9277603570727777,0.10675552423015588,2.381482938296932,-0.1684552027313977,0.14054132472951153
pickles_uk_43,M4V,3111.72,0.055466380598534926,1.3563954581441031,0.012490081714746637,0.6768313985887175,1.6254469122502009,0.213957047304989,2.9041198447664804,-0.20790971302270833,0.1844294922705032
pickles_uk_44,M5V,2951.21,0.0573590942454576,1.4517098023505177,0.029429148419602313,0.8099671930437111,1.8831482829730373,0.3729032090030078,2.88787453613733,-0.16968348987476567,0.2626256109185512
