Teff,g_s-g_s,g_s-r_s,i_s-i_s,i_s-z_s,logg,r_s-i_s,r_s-r_s,u_s-g_s,u_s-u_s,z_s-z_s
14500.0,0.0037991485335524544,-0.22488089667321987,0.0016375037257319036,-0.2727210895863621,8.75,-0.2744575055357146,-0.015318813575269985,0.17835162272265848,0.005495288887708227,0.007668730257478273
35000.0,0.008169659692669029,-0.4982986856629097,0.002218319896279297,-0.3384826449487406,6.5,-0.411226228455277,-0.01898640498026083,-0.31437431147716666,0.02522347591605012,-0.002675395042125217
24000.0,0.006425851768028679,-0.4081794631497502,0.002044178473781244,-0.31741608951077893,8.0,-0.36911611692212176,-0.018007320164443286,-0.10114566552360316,0.019495679017865086,0.0010390071364625442
24000.0,0.00649226696808114,-0.39538748112236277,0.0020571856822542145,-0.31987826774078343,8.5,-0.36617298648440766,-0.01827227137980003,-0.12313715578328299,0.021831345597995266,0.00042130584609623156
7000.0,-0.00467187540104419,0.18476015942626134,-6.67686493045494e-05,-0.05308514351791871,9.5,0.036050069778283955,0.0028450768551522287,0.42929576675791736,-0.046129622124659875,0.04252814011611861
19750.0,0.005716932950271314,-0.38064774406800694,0.0019038995959022031,-0.29542567094425465,7.25,-0.3469917194385417,-0.01669938601907006,0.06583679499088646,0.0037103123545776384,0.005496114878518199
28000.0,0.00741611328551528,-0.46177000372099286,0.002133406063578036,-0.32636027092001996,7.0,-0.39234856869545354,-0.018449523889096042,-0.18022248837949206,0.0191008302708795,-0.00021918416752697567
20000.0,0.005751948952685382,-0.3290430028324991,0.0019465717238063007,-0.30779922511829483,9.0,-0.33568381755127064,-0.017851208410959885,-0.03181659646303103,0.018362397839901234,0.002348488726035214
27000.0,0.0073035155695677645,-0.42016430207804945,0.002137931588237052,-0.33065418444091677,8.75,-0.38031743305589316,-0.018951743669390453,-0.20994520918683435,0.026087395099615662,-0.0014720694293544057
36000.0,0.008150549529737816,-0.48668810302392274,0.0022304988071653042,-0.34217888493970605,8.0,-0.40934556759527396,-0.01924785400682083,-0.3401768406456327,0.02986061133861284,-0.0035602062454813677
8500.0,-0.0017746129040361325,0.03128196404774286,0.00044473146392220997,-0.12049825942658998,8.0,-0.07190272264907094,-0.002689658646005455,0.32901926139143,-0.02531692377537098,0.030929827589822878
6500.0,-0.006556070820060711,0.2670183958072343,-0.0002783539325648121,-0.02418605985191391,9.25,0.07810537916407867,0.005368557082469749,0.5698566562361194,-0.062410177047858895,0.04792852001538961
13750.0,0.0034421747119210977,-0.24323054243266995,0.0016264337477096547,-0.2656534628786247,8.0,-0.2803403400710067,-0.0149858351086678,0.3255648271869447,-0.0035057044392985404,0.010257797349233044
80000.0,0.009488060209932314,-0.5293071725618645,0.0023235307407389882,-0.35297292539451774,9.25,-0.4283203629209211,-0.02002457237517774,-0.45896992348387045,0.035049439506572355,-0.005299178493167744
12500.0,0.0027266389296656257,-0.1771427868544322,0.0014483331076391437,-0.25215165739899703,8.5,-0.2402049239261146,-0.01309684842486547,0.25873109657727866,-0.001583860253603575,0.01071138440159558
